Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis
INF-4C4C8CC4F457,2024,VI. ACCIDENTS DE LA CIRCULATION,Accident matériel,accident materiel,46,0,0,3,42,1,0,0,0,0,2,18,4,0,49,43,24,92,0.0,1.0,46,False,
INF-213CB2C26526,2024,VI. ACCIDENTS DE LA CIRCULATION,Accident mortel,accident mortel,14,1,0,0,11,1,0,0,0,6,2,3,3,5,15,12,13,33,0.3333,1.0,14,False,
INF-5011E60D93DE,2024,VI. ACCIDENTS DE LA CIRCULATION,Délit de fuite,delit de fuite,2,0,2,0,2,0,0,0,0,0,3,2,0,1,4,2,6,6,0.25,1.0,2,False,
INF-6B24570F212C,2024,VI. ACCIDENTS DE LA CIRCULATION,Conduite en état d’ivresse,conduite en etat d'ivresse,5,0,0,0,0,0,0,0,0,1,1,4,0,0,5,0,5,6,0.0,1.0,5,False,
INF-A842938A377F,2024,VI. ACCIDENTS DE LA CIRCULATION,CSP Itaosy,csp itaosy,9,0,1,0,6,4,0,0,5,4,2,0,0,6,10,10,8,29,0.6,1.0,9,False,
INF-629AA96B20F1,2025,I. C/ ÉTAT,Infraction non renseignée,infraction non renseignee,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,2,4,1.0,1.0,0,True,
INF-C40FF5A05AA5,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol Avec Violence,vol avec violence,19,9,0,0,21,8,0,0,16,72,0,0,0,62,28,29,62,145,2.2143,1.0,19,False,
INF-55165AF63857,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol Avec Arme Blanche,vol avec arme blanche,53,13,5,0,35,37,0,0,17,99,0,2,7,77,71,72,86,259,1.0845,1.0,53,False,
INF-046BB831B21A,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Association Malfaiteur,association malfaiteur,91,82,23,0,98,75,11,29,2,716,3,75,299,405,196,213,782,1127,2.0663,1.0,91,False,
INF-D59864DF2048,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Menace avec arme à feu,menace avec arme a feu,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1.0,1.0,1,False,
INF-3DE59928FCF6,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Violation de sépulture et vol d’ossement humain,violation de sepulture et vol d'ossement humain,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0.0,1.0,2,False,
INF-96C4B4755AC7,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol à main armée,vol a main armee,18,2,0,2,13,6,0,0,0,6,7,0,0,4,22,19,11,47,0.1818,1.0,18,False,
