Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis
INF-5006BD18FC75,2026-S1,III. INFRACTIONS COURANTES,VBG,vbg,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0.0,2.0,2,False,
INF-85778478517F,2026-S1,III. INFRACTIONS COURANTES,FD de VOL,fd de vol,3,0,0,0,2,1,0,0,0,2,1,0,0,2,3,3,3,8,0.6667,2.0,6,False,
INF-E1F1C0648BAB,2026-S1,III. INFRACTIONS COURANTES,IVPM,ivpm,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,2.0,2,False,
INF-98424A795A28,2026-S1,III. INFRACTIONS COURANTES,AUTRES,autres,62,1,0,0,40,34,0,0,0,29,5,2,2,15,63,74,24,166,0.2381,2.0,124,False,
INF-8D1C504D6D4F,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Escroquerie,escroquerie,258,36,28,10,166,187,0,0,0,185,83,42,59,81,332,353,265,870,0.244,2.0,516,False,
INF-0C10B15705D8,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,ABC,abc,444,59,44,5,262,275,0,2,0,322,97,83,67,146,552,539,393,1413,0.2645,2.0,888,False,
INF-5E46EE891DAD,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Extorsion de fonds,extorsion de fonds,0,0,1,0,0,2,0,0,0,2,0,0,1,0,1,2,1,5,0.0,2.0,0,False,
INF-3C121BC9A828,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Emission de chèque sans provision,emission de cheque sans provision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,False,
INF-88E97DEB2C99,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Destruction de bien d’autrui,destruction de bien d'autrui,20,0,0,0,13,7,0,0,0,5,3,1,3,5,20,20,12,45,0.25,2.0,40,False,
INF-409D47D80C5D,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Abattage d’arbre illicite,abattage d'arbre illicite,2,0,0,0,2,0,0,0,0,1,0,0,1,0,2,2,1,5,0.0,2.0,4,False,
INF-61BEDD2F69B5,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Faux et usage de faux,faux et usage de faux,2,0,1,0,0,3,0,0,0,0,3,0,0,0,3,3,3,6,0.0,2.0,4,False,
INF-87DB9005BBDB,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Stellionat,stellionat,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0.0,2.0,2,False,
INF-606CC8CFB77E,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Usurpation d’identité,usurpation d'identite,2,0,2,0,3,1,0,0,0,3,2,0,0,1,4,4,3,11,0.25,2.0,4,False,
INF-CC52230795F4,2026-S1,IV. INFRACTIONS ÉCONOMIQUES,Usurpation de qualité,usurpation de qualite,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0.0,2.0,0,False,
INF-5FCA04AD3E87,2026-S1,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,Détention et consommation chanvre Indien,detention et consommation chanvre indien,10,76,0,0,6,1,0,0,0,159,2,92,34,27,86,7,155,252,0.314,2.0,20,False,
INF-58A88BAE600C,2026-S1,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,Vente,vente,2,1,0,0,3,0,0,0,0,3,0,0,0,1,3,3,1,9,0.3333,2.0,4,False,
INF-3DAE8FD8BF62,2026-S1,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,Injection et détention d’héroïne,injection et detention d'heroine,0,19,0,0,0,0,0,0,0,30,0,0,12,21,19,0,33,49,1.1053,2.0,0,False,
INF-5A550EF2237C,2026-S1,VI. ACCIDENTS DE LA CIRCULATION,Corporel,corporel,445,277,0,6,228,95,56,28,0,69,46,20,77,30,728,407,173,1204,0.0412,2.0,890,False,
INF-9DF02A95F703,2026-S1,VI. ACCIDENTS DE LA CIRCULATION,Matériel,materiel,131,110,0,0,106,20,0,0,0,130,10,8,35,93,241,126,146,497,0.3859,2.0,262,False,
INF-AA1FDC12A9D8,2026-S1,VI. ACCIDENTS DE LA CIRCULATION,Mortel,mortel,43,25,0,0,38,12,10,5,0,52,6,2,0,51,68,65,59,185,0.75,2.0,86,False,
INF-C21D9BCC7892,2026-S1,VI. ACCIDENTS DE LA CIRCULATION,Délit de fuite,delit de fuite,13,2,0,0,11,0,0,0,0,0,6,3,0,3,15,11,12,26,0.2,2.0,26,False,
INF-3E0049089B8C,2026-S1,VI. ACCIDENTS DE LA CIRCULATION,Conduite en état d’ivresse,conduite en etat d'ivresse,4,26,0,0,17,9,2,0,0,0,0,2,0,1,30,28,3,58,0.0333,2.0,8,False,
INF-2990A4320DB3,2026-S1,VII. AUTRES,Découverte cadavre,decouverte cadavre,120,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,120,0.0,2.0,240,False,
INF-F8B774198A24,2026-S1,VII. AUTRES,Découverte fœtus,decouverte f tus,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0.0,2.0,24,False,
INF-234CCCA60168,2026-S1,VII. AUTRES,Manifestations de foules,manifestations de foules,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,70,0.0,2.0,140,False,
INF-FC47006B15AE,2026-S1,VII. AUTRES,Incendie,incendie,45,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,0.0,2.0,90,False,
INF-E275353AC161,2026-S1,VII. AUTRES,Détournement de mineur,detournement de mineur,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,2,0.0,2.0,0,False,
