Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis,Cluster,PCA_1,PCA_2,Score_anomalie,Anomalie_ML,Raisons_anomalie,Anomalie_regle,Est_anomalie,Niveau_anomalie
INF-F5E4C609DF4F,2024,III. INFRACTIONS COURANTES,Vol à l’esbroufe,vol a l'esbroufe,11,2,0,0,0,0,0,0,0,5,6,11,2,0,13,0,19,18,0.0,1.0,11,False,,1,-1.3773262289646828,-0.2518158207370113,-0.23716,False,,False,False,Normale
INF-2428AC77CA57,2024,III. INFRACTIONS COURANTES,VAE,vae,259,0,0,56,136,24,3,0,0,117,85,12,23,13,315,163,133,595,0.0413,1.0,259,False,,0,2.125718202105188,-0.6920179518477021,-0.094389,False,,False,False,Normale
INF-ADFEFC5E4720,2024,III. INFRACTIONS COURANTES,VVF,vvf,16,0,12,9,8,0,0,0,0,1,2,3,4,11,37,8,20,46,0.2973,1.0,16,False,,1,-0.5365186042207046,-0.2140005554406112,-0.200507,False,,False,False,Normale
INF-C5CCB4DEB536,2024,III. INFRACTIONS COURANTES,VPE,vpe,11,0,0,0,4,1,0,0,0,1,0,5,0,2,11,5,7,17,0.1818,1.0,11,False,,1,-1.4395287681172515,-0.0882671943421,-0.246475,False,,False,False,Normale
INF-1B8DE1EFE3B2,2024,III. INFRACTIONS COURANTES,CBV,cbv,306,0,28,57,208,46,0,0,0,69,89,58,51,54,391,254,252,714,0.1381,1.0,306,False,,0,2.491972381569942,-0.6818667624634582,-0.075718,False,,False,False,Normale
INF-9CC68BFECB3A,2024,III. INFRACTIONS COURANTES,Menace,menace,10,0,0,0,6,0,0,0,0,0,0,4,0,1,10,6,5,16,0.1,1.0,10,False,,1,-1.6620606426398583,-0.0954731524494649,-0.247527,False,,False,False,Normale
INF-7077BE4E51E6,2024,III. INFRACTIONS COURANTES,Outrages,outrages,1,0,0,1,0,0,0,0,0,6,2,0,0,2,2,0,4,8,1.0,1.0,1,False,,1,-1.599990013145853,-0.0813933833990426,-0.244451,False,,False,False,Normale
INF-9078DEF85F7F,2024,III. INFRACTIONS COURANTES,Escroquerie,escroquerie,1282,3,159,7,531,381,0,0,0,908,632,132,59,182,1451,912,1005,3271,0.1254,1.0,1282,False,"04 H MD, 02 H LP, 03 F MD, 01 F LP",0,4.273963127554526,-0.926443412045939,0.056065,True,Resultats_En_cours: valeur extrêmement élevée,True,True,Moyenne
INF-7524C438D382,2024,III. INFRACTIONS COURANTES,ECSP,ecsp,7,0,67,0,65,13,0,0,0,147,0,0,67,1,74,78,68,299,0.0135,1.0,7,False,,0,0.2504482948151562,-0.2635061315229894,-0.126755,False,,False,False,Normale
INF-7F91E8F9AB89,2024,III. INFRACTIONS COURANTES,Faux et usage de faux,faux et usage de faux,3,0,17,0,15,9,0,0,0,60,11,0,2,9,20,24,22,104,0.45,1.0,3,False,,0,0.5099226649297087,-0.3532026474905476,-0.220699,False,,False,False,Normale
INF-0CBA9264728E,2024,III. INFRACTIONS COURANTES,Acte de concurrence déloyale,acte de concurrence deloyale,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1.0,1.0,1,False,,1,-2.278848462241025,0.0136780596239615,-0.249967,False,,False,False,Normale
INF-01EFAEEA1182,2024,III. INFRACTIONS COURANTES,Corruption et abus de fonction,corruption et abus de fonction,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,1.0,0,False,,1,-2.286852692631283,-0.064287830632178,-0.249418,False,,False,False,Normale
INF-4FBF45361455,2024,III. INFRACTIONS COURANTES,Abus de confiance,abus de confiance,1357,5,411,10,735,404,0,0,0,542,621,20,112,375,1783,1139,1128,3464,0.2103,1.0,1357,False,"01 H MD, 03 H LP, 02 F LP",0,4.426120470027821,-0.9204391784914224,0.107101,True,Saisine_ST: valeur extrêmement élevée,True,True,Moyenne
INF-A156386D1CEF,2024,III. INFRACTIONS COURANTES,Destructions de biens d’autrui,destructions de biens d'autrui,143,0,22,4,78,39,0,0,0,43,49,0,21,37,169,117,107,329,0.2189,1.0,143,False,01 H MD,0,1.8430465384797168,-0.579707678572245,-0.183094,False,,False,False,Normale
INF-D9FD4A452B2F,2024,III. INFRACTIONS COURANTES,Détournement de gages,detournement de gages,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,1,4,1.0,1.0,1,False,,1,-2.0571323896088543,0.0094665772562345,-0.250009,False,,False,False,Normale
INF-31B4AE339C03,2024,III. INFRACTIONS COURANTES,Confiscation  des biens,confiscation des biens,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,1.0,1,False,,1,-2.286852692631283,-0.064287830632178,-0.250067,False,,False,False,Normale
INF-6E317813D190,2024,III. INFRACTIONS COURANTES,Destruction de clôtures,destruction de clotures,0,0,3,0,3,0,0,0,0,0,0,0,0,3,3,3,3,6,1.0,1.0,0,False,,1,-1.8254862177980609,-0.0185882213735093,-0.245233,False,,False,False,Normale
INF-358722C3BC0A,2024,III. INFRACTIONS COURANTES,Harcèlement moral,harcelement moral,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,1.0,0,False,,1,-2.286852692631283,-0.064287830632178,-0.249418,False,,False,False,Normale
INF-2D31FE5057B7,2024,III. INFRACTIONS COURANTES,"Incendie criminel, volontaire",incendie criminel volontaire,8,0,0,2,2,4,0,0,0,6,1,0,1,0,10,6,2,22,0.0,1.0,8,False,,1,-1.2773516652917625,-0.1808986045241445,-0.242357,False,,False,False,Normale
INF-1CE8014C7865,2024,III. INFRACTIONS COURANTES,Abattages d’arbres,abattages d'arbres,1,0,9,0,10,0,0,0,0,0,2,0,0,8,10,10,10,20,0.8,1.0,1,False,,1,-0.9633277201839908,-0.1674541294821222,-0.237561,False,,False,False,Normale
INF-63C0660619DD,2024,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,Consommation,consommation,73,129,0,42,20,0,0,0,0,237,3,0,6,144,244,20,153,501,0.5902,1.0,73,False,02H MD,0,1.6508605255741615,-0.3031442133357803,-0.073755,False,,False,False,Normale
INF-3C05FD7B41FE,2024,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,Vente,vente,6,2,0,0,0,0,0,0,2,6,0,0,0,4,8,0,4,16,0.5,1.0,6,False,,1,-1.2991529200024006,1.5867856621608023,-0.234728,False,,False,False,Normale
INF-761388CECEE9,2024,VI. ACCIDENTS DE LA CIRCULATION,Accident corporel,accident corporel,335,339,45,0,439,98,69,19,77,133,325,99,86,134,719,625,644,1554,0.1864,1.0,335,False,,2,4.2222221252305285,5.552226294540106,0.121951,True,MiseEnCause_Neutralises: valeur extrêmement élevée,True,True,Élevée
INF-4C4C8CC4F457,2024,VI. ACCIDENTS DE LA CIRCULATION,Accident matériel,accident materiel,46,0,0,3,42,1,0,0,0,0,2,18,4,0,49,43,24,92,0.0,1.0,46,False,,1,-0.8805970829899467,-0.3247530070286402,-0.225703,False,,False,False,Normale
INF-213CB2C26526,2024,VI. ACCIDENTS DE LA CIRCULATION,Accident mortel,accident mortel,14,1,0,0,11,1,0,0,0,6,2,3,3,5,15,12,13,33,0.3333,1.0,14,False,,1,-0.5537126096648785,-0.2059705918100137,-0.242214,False,,False,False,Normale
INF-5011E60D93DE,2024,VI. ACCIDENTS DE LA CIRCULATION,Délit de fuite,delit de fuite,2,0,2,0,2,0,0,0,0,0,3,2,0,1,4,2,6,6,0.25,1.0,2,False,,1,-1.689598927772458,-0.1604012318532654,-0.244359,False,,False,False,Normale
INF-6B24570F212C,2024,VI. ACCIDENTS DE LA CIRCULATION,Conduite en état d’ivresse,conduite en etat d'ivresse,5,0,0,0,0,0,0,0,0,1,1,4,0,0,5,0,5,6,0.0,1.0,5,False,,1,-2.0597985482383114,-0.0988164415300836,-0.247045,False,,False,False,Normale
INF-A842938A377F,2024,VI. ACCIDENTS DE LA CIRCULATION,CSP Itaosy,csp itaosy,9,0,1,0,6,4,0,0,5,4,2,0,0,6,10,10,8,29,0.6,1.0,9,False,,2,-0.3765883027130553,2.4436542901278107,-0.2228,False,,False,False,Normale
INF-629AA96B20F1,2025,I. C/ ÉTAT,Infraction non renseignée,infraction non renseignee,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,2,4,1.0,1.0,0,True,,1,-2.019138674878866,0.0187588916962562,-0.242721,False,Libellé d'infraction non renseigné,True,True,Élevée
INF-C40FF5A05AA5,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol Avec Violence,vol avec violence,19,9,0,0,21,8,0,0,16,72,0,0,0,62,28,29,62,145,2.2143,1.0,19,False,,2,1.0358349886199427,4.038920835246623,-0.153971,False,,False,False,Normale
INF-55165AF63857,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol Avec Arme Blanche,vol avec arme blanche,53,13,5,0,35,37,0,0,17,99,0,2,7,77,71,72,86,259,1.0845,1.0,53,False,,2,1.5350353929798723,4.062695610859428,-0.1268,False,,False,False,Normale
INF-046BB831B21A,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Association Malfaiteur,association malfaiteur,91,82,23,0,98,75,11,29,2,716,3,75,299,405,196,213,782,1127,2.0663,1.0,91,False,,0,2.7494187704929467,1.2764739562946188,5.9e-05,True,Resultats_DEF: valeur extrêmement élevée,True,True,Faible
INF-D59864DF2048,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Menace avec arme à feu,menace avec arme a feu,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1.0,1.0,1,False,,1,-2.278848462241025,0.0136780596239615,-0.249967,False,,False,False,Normale
INF-3DE59928FCF6,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Violation de sépulture et vol d’ossement humain,violation de sepulture et vol d'ossement humain,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0.0,1.0,2,False,,1,-2.2535411525267284,-0.100602638327339,-0.248867,False,,False,False,Normale
INF-96C4B4755AC7,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol à main armée,vol a main armee,18,2,0,2,13,6,0,0,0,6,7,0,0,4,22,19,11,47,0.1818,1.0,18,False,,1,-0.2102149904198477,-0.3243546844991026,-0.236947,False,,False,False,Normale
INF-2C9A16603C99,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Meurtre,meurtre,2,1,0,0,2,1,0,0,0,0,0,0,0,2,3,3,2,6,0.6667,1.0,2,False,,1,-1.893789110022149,-0.0255717045829206,-0.247466,False,,False,False,Normale
INF-32D87BD675C3,2025,III. INFRACTIONS COURANTES,Vol avec effraction,vol avec effraction,1296,91,70,34,502,465,12,0,1,396,62,43,109,239,1491,979,453,2867,0.1603,1.0,1296,False,,0,3.794741441790936,0.2986531740678626,-0.000679,False,,False,False,Normale
INF-C40471D4EC12,2025,III. INFRACTIONS COURANTES,Vol à la tire,vol a la tire,779,206,12,13,204,403,49,50,1,603,33,85,151,323,1010,706,592,2320,0.3198,1.0,779,False,,0,3.662179141467168,0.3846899915272397,0.008255,True,,False,True,Faible
INF-0406076CD296,2025,III. INFRACTIONS COURANTES,Vol à l’esbroufe,vol a l'esbroufe,51,20,0,2,16,22,11,3,0,54,1,0,4,49,73,52,54,179,0.6712,1.0,51,False,,0,0.8861169428482499,-0.2318726505737607,-0.216522,False,,False,False,Normale
INF-D626732B6BA5,2025,III. INFRACTIONS COURANTES,Vol simple,vol simple,6111,389,153,44,1979,1930,244,273,0,1775,404,274,549,773,6697,4426,2000,12898,0.1154,1.0,6111,False,,0,5.2979469600780025,-0.9641743373090896,0.231045,True,Saisine_Plaintes_directes: valeur extrêmement élevée; Saisine_FD: valeur extrêmement élevée; Total_victimes: valeur extrêmement élevée; MiseEnCause_Interpelles: valeur extrêmement élevée; Resultats_DAT: valeur extrêmement élevée; Resultats_DEF: valeur extrêmement élevée,True,True,Élevée
INF-7D4DC5931C11,2025,III. INFRACTIONS COURANTES,Vol moto,vol moto,119,21,8,0,60,27,0,0,0,59,10,0,8,46,148,87,64,294,0.3108,1.0,119,False,,0,1.5257667973789388,-0.428702559771607,-0.208709,False,,False,False,Normale
INF-862387822BF2,2025,III. INFRACTIONS COURANTES,VVF,vvf,131,7,29,0,58,747,0,0,0,69,7,10,33,45,167,805,95,1041,0.2695,1.0,131,False,,0,1.9630582240074816,-0.4639322449276171,-0.136572,False,,False,False,Normale
INF-75E26B361FF7,2025,III. INFRACTIONS COURANTES,Vol au préjudice de son employeur,vol au prejudice de son employeur,37,0,10,0,31,16,0,0,0,0,20,0,0,29,47,47,49,94,0.617,1.0,37,False,,0,0.3758982220374302,-0.4142161148058486,-0.220671,False,,False,False,Normale
INF-7F338587EFDA,2025,III. INFRACTIONS COURANTES,Destruction de bien d’autrui,destruction de bien d'autrui,100,36,3,0,97,32,1,1,0,80,4,30,21,29,139,131,84,350,0.2086,1.0,100,False,,0,1.3724277919444667,-0.3787848389139716,-0.197129,False,,False,False,Normale
INF-6255084EA78F,2025,III. INFRACTIONS COURANTES,VBG,vbg,4,0,1,0,1,4,0,0,0,0,5,0,0,0,5,5,5,10,0.0,1.0,4,False,,1,-1.580976940962096,-0.2390016884422233,-0.246896,False,,False,False,Normale
INF-9EC56D5EA164,2025,III. INFRACTIONS COURANTES,Violation de domicile,violation de domicile,39,16,3,0,19,26,0,0,0,67,2,28,1,14,58,45,45,170,0.2414,1.0,39,False,,0,0.6578425333678505,-0.2838091290991951,-0.216907,False,,False,False,Normale
