Annee;Categorie;Infraction_Affaire_traitee;Infraction_normalisee;Saisine_Plaintes_directes;Saisine_FD;Saisine_ST;Saisine_Autres;Victimes_H;Victimes_F;Victimes_G;Victimes_F_fille;MiseEnCause_Neutralises;MiseEnCause_Interpelles;Resultats_En_cours;Resultats_Retraits;Resultats_DAT;Resultats_DEF;Observations_Objets_saisis
2024;VI. ACCIDENTS DE LA CIRCULATION;Accident mortel;accident mortel;14;1;0;0;11;1;0;0;0;6;2;3;3;5;
2024;VI. ACCIDENTS DE LA CIRCULATION;Délit de fuite;delit de fuite;2;0;2;0;2;0;0;0;0;0;3;2;0;1;
2024;VI. ACCIDENTS DE LA CIRCULATION;Conduite en état d’ivresse;conduite en etat d’ivresse;5;0;0;0;0;0;0;0;0;1;1;4;0;0;
2024;VI. ACCIDENTS DE LA CIRCULATION;CSP Itaosy;csp itaosy;9;0;1;0;6;4;0;0;5;4;2;0;0;6;
2025;I. C/ ÉTAT;;;0;0;0;2;0;0;0;0;0;2;0;0;0;2;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;Vol Avec Violence;vol avec violence;19;9;0;0;21;8;0;0;16;72;0;0;0;62;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;Vol Avec Arme Blanche;vol avec arme blanche;53;13;5;0;35;37;0;0;17;99;0;2;7;77;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;Association Malfaiteur;association malfaiteur;91;82;23;0;98;75;11;29;2;716;3;75;299;405;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;Menace avec arme à feu;menace avec arme a feu;1;0;0;0;1;0;0;0;0;0;0;0;0;1;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;Violation de sépulture et vol d’ossement humain;violation de sepulture et vol d’ossement humain;2;0;0;0;0;0;0;0;0;0;2;0;0;0;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;Vol à main armée;vol a main armee;18;2;0;2;13;6;0;0;0;6;7;0;0;4;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;Meurtre;meurtre;2;1;0;0;2;1;0;0;0;0;0;0;0;2;
2025;III. INFRACTIONS COURANTES;Vol avec effraction;vol avec effraction;1296;91;70;34;502;465;12;0;1;396;62;43;109;239;
2025;III. INFRACTIONS COURANTES;Vol à la tire;vol a la tire;779;206;12;13;204;403;49;50;1;603;33;85;151;323;
2025;III. INFRACTIONS COURANTES;Vol à l’esbroufe;vol a l’esbroufe;51;20;0;2;16;22;11;3;0;54;1;0;4;49;
2025;III. INFRACTIONS COURANTES;Vol simple;vol simple;6111;389;153;44;1979;1930;244;273;0;1775;404;274;549;773;
2025;III. INFRACTIONS COURANTES;Vol moto;vol moto;119;21;8;0;60;27;0;0;0;59;10;0;8;46;
2025;III. INFRACTIONS COURANTES;VVF;vvf;131;7;29;0;58;747;0;0;0;69;7;10;33;45;
2025;III. INFRACTIONS COURANTES;Vol au préjudice de son employeur;vol au prejudice de son employeur;37;0;10;0;31;16;0;0;0;0;20;0;0;29;
2025;III. INFRACTIONS COURANTES;Destruction de bien d’autrui;destruction de bien d’autrui;100;36;3;0;97;32;1;1;0;80;4;30;21;29;
2025;III. INFRACTIONS COURANTES;VBG;vbg;4;0;1;0;1;4;0;0;0;0;5;0;0;0;
2025;III. INFRACTIONS COURANTES;Violation de domicile;violation de domicile;39;16;3;0;19;26;0;0;0;67;2;28;1;14;
